date,num
2021/04/01,1
2021/04/02,0
2021/04/03,0
2021/04/04,1
2021/04/05,0
2021/04/06,0
2021/04/07,0
2021/04/08,0
2021/04/09,1
2021/04/10,0
2021/04/11,0
2021/04/12,0
2021/04/13,1
2021/04/14,0
2021/04/15,0
2021/04/16,0
2021/04/17,0
2021/04/18,0
2021/04/19,0
2021/04/20,0
2021/04/21,1
2021/04/22,0
2021/04/23,0
2021/04/24,1
2021/04/25,1
2021/04/26,0
2021/04/27,0
2021/04/28,0
2021/04/29,0
2021/04/30,1
2021/05/01,0
2021/05/02,0
2021/05/03,1
2021/05/04,0
2021/05/05,0
2021/05/06,1
2021/05/07,0
2021/05/08,0
2021/05/09,0
2021/05/10,0
2021/05/11,0
2021/05/12,0
2021/05/13,0
2021/05/14,1
2021/05/15,0
2021/05/16,1
2021/05/17,1
2021/05/18,1
2021/05/19,0
2021/05/20,0
2021/05/21,0
2021/05/22,0
2021/05/23,0
2021/05/24,0
2021/05/25,1
2021/05/26,0
2021/05/27,0
2021/05/28,0
2021/05/29,0
2021/05/30,0
2021/05/31,0
2021/06/01,0
2021/06/02,0
2021/06/03,0
2021/06/04,0
2021/06/05,1
2021/06/06,0
2021/06/07,0
2021/06/08,1
2021/06/09,0
2021/06/10,0
2021/06/11,0
2021/06/12,0
2021/06/13,0
2021/06/14,0
2021/06/15,1
2021/06/16,1
2021/06/17,0
2021/06/18,2
2021/06/19,1
2021/06/20,1
2021/06/21,0
2021/06/22,0
2021/06/23,0
2021/06/24,0
2021/06/25,1
2021/06/26,0
2021/06/27,1
2021/06/28,1
2021/06/29,2
2021/06/30,0
2021/07/01,0
2021/07/02,2
2021/07/03,0
2021/07/04,1
2021/07/05,0
2021/07/06,0
2021/07/07,0
2021/07/08,1
2021/07/09,0
2021/07/10,1
2021/07/11,0
2021/07/12,0
2021/07/13,0
2021/07/14,0
2021/07/15,0
2021/07/16,0
2021/07/17,0
2021/07/18,0
2021/07/19,1
2021/07/20,0
2021/07/21,0
2021/07/22,0
2021/07/23,0
2021/07/24,0
2021/07/25,0
2021/07/26,1
2021/07/27,0
2021/07/28,1
2021/07/29,1
2021/07/30,0
2021/07/31,0
2021/08/01,0
2021/08/02,0
2021/08/03,0
2021/08/04,0
2021/08/05,0
2021/08/06,0
2021/08/07,0
2021/08/08,0
2021/08/09,0
2021/08/10,0
2021/08/11,0
2021/08/12,1
2021/08/13,0
2021/08/14,0
2021/08/15,1
2021/08/16,0
2021/08/17,0
2021/08/18,0
2021/08/19,1
2021/08/20,0
2021/08/21,0
2021/08/22,0
2021/08/23,0
2021/08/24,0
2021/08/25,0
2021/08/26,0
2021/08/27,1
2021/08/28,0
2021/08/29,0
2021/08/30,0
2021/08/31,1
2021/09/01,0
2021/09/02,0
2021/09/03,0
2021/09/04,0
2021/09/05,1
2021/09/06,0
2021/09/07,0
2021/09/08,0
2021/09/09,0
2021/09/10,0
2021/09/11,1
2021/09/12,0
2021/09/13,0
2021/09/14,0
2021/09/15,0
2021/09/16,0
2021/09/17,0
2021/09/18,0
2021/09/19,0
2021/09/20,0
2021/09/21,0
2021/09/22,1
2021/09/23,0
2021/09/24,0
2021/09/25,0
2021/09/26,0
2021/09/27,0
2021/09/28,0
2021/09/29,0
2021/09/30,0
2021/10/01,0
2021/10/02,0
2021/10/03,0
2021/10/04,1
2022/04/01,0
2022/04/02,0
2022/04/03,0
2022/04/04,0
2022/04/05,0
2022/04/06,0
2022/04/07,0
2022/04/08,0
2022/04/09,0
2022/04/10,0
2022/04/11,0
2022/04/12,0
2022/04/13,0
2022/04/14,0
2022/04/15,0
2022/04/16,2
2022/04/17,1
2022/04/18,0
2022/04/19,0
2022/04/20,0
2022/04/21,0
2022/04/22,0
2022/04/23,0
2022/04/24,0
2022/04/25,0
2022/04/26,0
2022/04/27,0
2022/04/28,0
2022/04/29,0
2022/04/30,1
2022/05/01,0
2022/05/02,0
2022/05/03,0
2022/05/04,0
2022/05/05,0
2022/05/06,0
2022/05/07,0
2022/05/08,0
2022/05/09,0
2022/05/10,2
2022/05/11,0
2022/05/12,0
2022/05/13,0
2022/05/14,0
2022/05/15,1
2022/05/16,1
2022/05/17,0
2022/05/18,0
2022/05/19,0
2022/05/20,0
2022/05/21,0
2022/05/22,0
2022/05/23,1
2022/05/24,0
2022/05/25,0
2022/05/26,0
2022/05/27,0
2022/05/28,0
2022/05/29,0
2022/05/30,2
2022/05/31,0
2022/06/01,0
2022/06/02,0
2022/06/03,0
2022/06/04,0
2022/06/05,0
2022/06/06,0
2022/06/07,0
2022/06/08,0
2022/06/09,0
2022/06/10,1
2022/06/11,0
2022/06/12,1
2022/06/13,0
2022/06/14,0
2022/06/15,0
2022/06/16,0
2022/06/17,0
2022/06/18,0
2022/06/19,0
2022/06/20,0
2022/06/21,0
2022/06/22,2
2022/06/23,0
2022/06/24,0
2022/06/25,0
2022/06/26,1
2022/06/27,0
2022/06/28,0
2022/06/29,1
2022/06/30,0
2022/07/01,0
2022/07/02,1
2022/07/03,0
2022/07/04,0
2022/07/05,0
2022/07/06,0
2022/07/07,0
2022/07/08,0
2022/07/09,1
2022/07/10,0
2022/07/11,0
2022/07/12,0
2022/07/13,0
2022/07/14,0
2022/07/15,0
2022/07/16,0
2022/07/17,0
2022/07/18,0
2022/07/19,0
2022/07/20,0
2022/07/21,0
2022/07/22,0
2022/07/23,0
2022/07/24,1
2022/07/25,0
2022/07/26,0
2022/07/27,1
2022/07/28,0
2022/07/29,0
2022/07/30,0
2022/07/31,1
2022/08/01,0
2022/08/02,0
2022/08/03,0
2022/08/04,0
2022/08/05,2
2022/08/06,0
2022/08/07,0
2022/08/08,0
2022/08/09,0
2022/08/10,1
2022/08/11,0
2022/08/12,0
2022/08/13,0
2022/08/14,1
2022/08/15,0
2022/08/16,0
2022/08/17,0
2022/08/18,1
2022/08/19,0
2022/08/20,0
2022/08/21,0
2022/08/22,0
2022/08/23,0
2022/08/24,0
2022/08/25,0
2022/08/26,0
2022/08/27,0
2022/08/28,0
2022/08/29,1
2022/08/30,1
2022/08/31,0
2022/09/01,1
2022/09/02,0
2022/09/03,0
2022/09/04,0
2022/09/05,0
2022/09/06,2
2022/09/07,0
2022/09/08,1
2022/09/09,0
2022/09/10,0
2022/09/11,0
2022/09/12,1
2022/09/13,0
2022/09/14,0
2022/09/15,0
2022/09/16,0
2022/09/17,0
2022/09/18,0
2022/09/19,0
2022/09/20,0
2022/09/21,0
2022/09/22,0
2022/09/23,0
2022/09/24,0
2022/09/25,0
2022/09/26,0
2022/09/27,0
2022/09/28,0
2022/09/29,0
2022/09/30,0
2023/04/01,0
2023/04/02,0
2023/04/03,1
2023/04/04,1
2023/04/05,0
2023/04/06,0
2023/04/07,0
2023/04/08,0
2023/04/09,0
2023/04/10,1
2023/04/11,0
2023/04/12,0
2023/04/13,0
2023/04/14,0
2023/04/15,0
2023/04/16,0
2023/04/17,0
2023/04/18,0
2023/04/19,1
2023/04/20,0
2023/04/21,0
2023/04/22,0
2023/04/23,0
2023/04/24,1
2023/04/25,0
2023/04/26,0
2023/04/27,1
2023/04/28,0
2023/04/29,0
2023/04/30,0
2023/05/01,1
2023/05/02,0
2023/05/03,0
2023/05/04,0
2023/05/05,0
2023/05/06,0
2023/05/07,0
2023/05/08,0
2023/05/09,0
2023/05/10,0
2023/05/11,1
2023/05/12,0
2023/05/13,0
2023/05/14,0
2023/05/15,0
2023/05/16,1
2023/05/17,0
2023/05/18,0
2023/05/19,0
2023/05/20,1
2023/05/21,0
2023/05/22,0
2023/05/23,0
2023/05/24,0
2023/05/25,1
2023/05/26,0
2023/05/27,0
2023/05/28,0
2023/05/29,0
2023/05/30,0
2023/05/31,1
2023/06/01,2
2023/06/02,1
2023/06/03,0
2023/06/04,0
2023/06/05,0
2023/06/06,0
2023/06/07,1
2023/06/08,0
2023/06/09,0
2023/06/10,1
2023/06/11,1
2023/06/12,0
2023/06/13,2
2023/06/14,0
2023/06/15,1
2023/06/16,1
2023/06/17,0
2023/06/18,1
2023/06/19,1
2023/06/20,0
2023/06/21,0
2023/06/22,0
2023/06/23,0
2023/06/24,1
2023/06/25,0
2023/06/26,0
2023/06/27,1
2023/06/28,2
2023/06/29,0
2023/06/30,1
2023/07/01,1
2023/07/02,0
2023/07/03,1
2023/07/04,0
2023/07/05,0
2023/07/06,0
2023/07/07,0
2023/07/08,0
2023/07/09,1
2023/07/10,0
2023/07/11,0
2023/07/12,0
2023/07/13,0
2023/07/14,0
2023/07/15,0
2023/07/16,1
2023/07/17,1
2023/07/18,1
2023/07/19,0
2023/07/20,0
2023/07/21,0
2023/07/22,0
2023/07/23,0
2023/07/24,1
2023/07/25,0
2023/07/26,0
2023/07/27,0
2023/07/28,2
2023/07/29,1
2023/07/30,0
2023/07/31,0
2023/08/01,0
2023/08/02,0
2023/08/03,0
2023/08/04,1
2023/08/05,0
2023/08/06,0
2023/08/07,0
2023/08/08,0
2023/08/09,0
2023/08/10,0
2023/08/11,0
2023/08/12,0
2023/08/13,0
2023/08/14,1
2023/08/15,0
2023/08/16,0
2023/08/17,1
2023/08/18,0
2023/08/19,1
2023/08/20,0
2023/08/21,0
2023/08/22,0
2023/08/23,0
2023/08/24,1
2023/08/25,0
2023/08/26,0
2023/08/27,0
2023/08/28,0
2023/08/29,0
2023/08/30,0
2023/08/31,0
2023/09/01,0
2023/09/02,0
2023/09/03,0
2023/09/04,0
2023/09/05,0
2023/09/06,0
2023/09/07,0
2023/09/08,0
2023/09/09,0
2023/09/10,0
2023/09/11,0
2023/09/12,0
2023/09/13,0
2023/09/14,0
2023/09/15,0
2023/09/16,0
2023/09/17,0
2023/09/18,0
2023/09/19,0
2023/09/20,0
2023/09/21,0
2023/09/22,0
2023/09/23,0
2023/09/24,0
2023/09/25,0
2023/09/26,0
2023/09/27,0
2023/09/28,0
2023/09/29,0
2023/09/30,0
2024/04/01,0
2024/04/02,0
2024/04/03,0
2024/04/04,1
2024/04/05,0
2024/04/06,1
2024/04/07,0
2024/04/08,0
2024/04/09,1
2024/04/10,0
2024/04/11,0
2024/04/12,0
2024/04/13,1
2024/04/14,0
2024/04/15,0
2024/04/16,0
2024/04/17,0
2024/04/18,0
2024/04/19,0
2024/04/20,0
2024/04/21,0
2024/04/22,1
2024/04/23,0
2024/04/24,1
2024/04/25,0
2024/04/26,0
2024/04/27,1
2024/04/28,0
2024/04/29,0
2024/04/30,0
2024/05/01,0
2024/05/02,0
2024/05/03,0
2024/05/04,0
2024/05/05,1
2024/05/06,2
2024/05/07,1
2024/05/08,0
2024/05/09,0
2024/05/10,0
2024/05/11,0
2024/05/12,0
2024/05/13,0
2024/05/14,0
2024/05/15,1
2024/05/16,0
2024/05/17,0
2024/05/18,1
2024/05/19,0
2024/05/20,0
2024/05/21,0
2024/05/22,0
2024/05/23,0
2024/05/24,0
2024/05/25,0
2024/05/26,0
2024/05/27,0
2024/05/28,0
2024/05/29,0
2024/05/30,1
2024/05/31,0
2024/06/01,0
2024/06/02,0
2024/06/03,0
2024/06/04,0
2024/06/05,0
2024/06/06,1
2024/06/07,0
2024/06/08,0
2024/06/09,0
2024/06/10,0
2024/06/11,0
2024/06/12,1
2024/06/13,1
2024/06/14,0
2024/06/15,0
2024/06/16,0
2024/06/17,2
2024/06/18,0
2024/06/19,1
2024/06/20,0
2024/06/21,1
2024/06/22,1
2024/06/23,1
2024/06/24,0
2024/06/25,0
2024/06/26,1
2024/06/27,1
2024/06/28,0
2024/06/29,0
2024/06/30,1
2024/07/01,0
2024/07/02,0
2024/07/03,1
2024/07/04,0
2024/07/05,0
2024/07/06,1
2024/07/07,0
2024/07/08,0
2024/07/09,0
2024/07/10,0
2024/07/11,0
2024/07/12,0
2024/07/13,0
2024/07/14,1
2024/07/15,0
2024/07/16,0
2024/07/17,0
2024/07/18,0
2024/07/19,0
2024/07/20,0
2024/07/21,0
2024/07/22,1
2024/07/23,0
2024/07/24,0
2024/07/25,0
2024/07/26,1
2024/07/27,0
2024/07/28,1
2024/07/29,0
2024/07/30,0
2024/07/31,0
2024/08/01,0
2024/08/02,0
2024/08/03,1
2024/08/04,0
2024/08/05,0
2024/08/06,1
2024/08/07,0
2024/08/08,0
2024/08/09,0
2024/08/10,1
2024/08/11,0
2024/08/12,0
2024/08/13,1
2024/08/14,1
2024/08/15,0
2024/08/16,0
2024/08/17,0
2024/08/18,1
2024/08/19,1
2024/08/20,0
2024/08/21,0
2024/08/22,0
2024/08/23,0
2024/08/24,1
2024/08/25,1
2024/08/26,0
2024/08/27,0
2024/08/28,0
2024/08/29,1
2024/08/30,0
2024/08/31,1
2024/09/01,
2024/09/02,
2024/09/03,
2024/09/04,
2024/09/05,
2024/09/06,
2024/09/07,
2024/09/08,
2024/09/09,
2024/09/10,
2024/09/11,
2024/09/12,
2024/09/13,
2024/09/14,
2024/09/15,
2024/09/16,
2024/09/17,
2024/09/18,
2024/09/19,
2024/09/20,
2024/09/21,
2024/09/22,
2024/09/23,
2024/09/24,
2024/09/25,
2024/09/26,
2024/09/27,
2024/09/28,
2024/09/29,
2024/09/30,
